species,region,habitat,activity,visual_pattern,threat_level,body_length_cm,weight_kg,altitude_m,temperature_c,observation_quality
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,131.94,44.57,0.0,20.41,bonne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,148.11,96.4,685.17,12.7,bonne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,60.16,5.12,2885.37,29.71,bonne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,334.7,1986.77,0.0,11.9,moyenne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,50.57,4.67,2133.9,26.56,faible
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,335.27,1793.22,323.74,22.17,faible
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,244.84,136.31,147.9,30.47,moyenne
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,190.98,31.08,5106.2,23.28,bonne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,339.06,1036.57,412.89,6.99,bonne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,156.12,124.68,4151.16,25.09,faible
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,51.82,3.12,1855.88,18.75,moyenne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,234.88,118.34,800.22,22.94,faible
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,122.12,68.17,1482.26,22.09,moyenne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,131.37,50.54,27.01,29.85,moyenne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,62.38,7.96,2952.2,20.53,bonne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,325.7,993.23,480.61,10.91,bonne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,320.72,1092.78,197.27,18.36,bonne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,233.94,129.3,387.93,17.51,bonne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,151.02,55.45,1490.03,25.44,bonne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,158.67,78.5,2441.41,13.35,bonne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,251.85,73.34,1072.62,9.01,bonne
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,171.5,49.36,4623.94,9.48,moyenne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,334.65,1342.26,579.77,22.32,bonne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,132.93,80.86,543.68,8.35,bonne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,130.76,48.34,16.21,32.64,bonne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,147.11,165.65,3175.25,33.11,bonne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,171.54,165.81,2731.27,13.62,moyenne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,80.8,82.63,117.95,21.04,moyenne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,123.73,53.85,28.33,12.42,bonne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,255.91,101.34,664.51,23.93,bonne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,301.91,2101.1,110.13,29.77,faible
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,301.61,1991.79,154.23,31.98,bonne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,63.3,0.93,3468.51,33.58,moyenne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,171.51,71.84,2688.86,26.67,faible
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,223.49,86.97,383.81,6.59,bonne
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,184.46,54.26,4016.99,7.46,moyenne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,229.08,140.34,1117.53,29.07,bonne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,175.74,168.6,4308.5,7.7,bonne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,89.88,61.62,0.0,6.37,faible
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,49.97,3.72,2344.05,5.43,bonne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,141.3,51.74,508.62,6.26,bonne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,137.86,42.01,83.38,13.6,moyenne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,121.49,31.58,57.23,11.24,moyenne
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,158.23,33.94,5337.29,23.82,moyenne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,318.33,1045.07,308.66,12.49,bonne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,310.97,2181.74,242.26,11.37,moyenne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,151.3,108.42,3753.64,27.41,moyenne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,306.33,2132.04,144.96,9.33,bonne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,102.32,52.83,18.34,21.26,bonne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,64.29,5.19,3156.65,23.93,bonne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,332.1,1380.86,365.5,9.66,moyenne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,218.75,107.45,684.88,27.82,bonne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,142.73,55.54,1509.74,20.58,moyenne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,145.11,124.55,4033.07,22.76,bonne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,136.28,45.73,0.0,8.6,moyenne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,119.72,41.7,0.0,11.38,moyenne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,139.03,130.67,2996.01,5.47,moyenne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,141.11,47.08,22.38,24.75,bonne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,304.46,1610.39,385.16,31.66,bonne
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,205.58,47.54,3820.55,27.77,bonne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,306.28,1943.59,557.52,14.38,bonne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,64.45,4.31,2335.44,18.18,bonne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,327.83,1873.45,746.92,13.14,moyenne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,83.41,45.67,0.0,24.11,moyenne
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,220.8,45.77,3596.38,12.46,faible
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,132.76,54.72,0.0,19.3,faible
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,185.8,42.53,4066.96,19.08,moyenne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,154.31,119.6,3895.87,7.28,moyenne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,131.14,48.45,0.0,17.01,bonne
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,184.34,34.39,4189.27,5.11,bonne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,68.55,5.51,2208.75,31.9,moyenne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,139.53,32.59,0.0,27.13,moyenne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,51.59,7.91,2175.7,24.08,moyenne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,139.08,45.29,87.49,11.32,faible
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,230.76,127.49,1107.14,24.65,bonne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,131.59,85.18,779.85,18.0,bonne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,174.19,118.78,4375.43,7.69,bonne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,151.34,33.28,2.03,25.15,moyenne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,125.53,45.37,0.0,25.7,bonne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,158.76,155.52,3983.52,17.6,bonne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,295.53,1882.57,274.01,9.88,moyenne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,160.83,126.79,2403.02,15.84,bonne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,175.03,81.95,3988.21,16.8,bonne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,160.59,140.08,3022.94,11.07,bonne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,166.21,98.9,2358.71,23.5,moyenne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,322.35,1548.21,444.81,31.41,moyenne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,322.29,1822.9,328.52,27.05,bonne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,152.49,172.6,3351.82,5.59,moyenne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,327.43,1245.92,364.14,21.08,moyenne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,327.44,1975.02,240.06,10.21,moyenne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,135.42,39.8,26.09,13.16,bonne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,125.48,87.8,877.7,24.92,faible
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,167.01,50.45,4176.42,30.74,bonne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,146.48,46.63,81.29,27.18,bonne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,140.55,43.79,622.44,21.38,bonne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,62.84,5.24,3284.89,27.84,bonne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,138.81,71.89,85.35,6.68,faible
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,143.3,88.14,843.48,13.35,bonne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,85.83,50.8,0.0,17.05,bonne
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,221.91,47.49,3259.76,9.54,faible
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,63.18,5.46,3898.48,29.33,bonne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,136.86,44.99,1350.45,11.64,moyenne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,85.81,62.65,0.0,14.33,faible
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,125.92,32.91,0.0,33.46,bonne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,150.65,29.6,0.0,31.66,moyenne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,122.65,90.53,1246.29,5.61,moyenne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,96.9,60.44,0.0,22.29,moyenne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,111.79,98.49,958.46,25.96,moyenne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,163.41,161.38,3354.67,9.35,bonne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,54.96,5.69,2220.53,26.85,bonne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,62.44,66.62,72.81,16.79,bonne
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,192.85,26.47,3484.41,20.35,faible
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,160.76,108.48,3865.73,20.07,moyenne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,77.12,64.71,99.15,29.05,bonne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,143.41,50.6,98.0,27.85,bonne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,233.08,84.6,203.76,11.84,bonne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,75.99,78.3,41.69,9.29,bonne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,119.0,56.98,603.69,23.63,moyenne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,151.71,36.32,70.97,28.97,faible
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,76.6,79.94,0.0,31.3,moyenne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,338.01,1865.43,586.9,21.33,moyenne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,223.71,138.08,290.28,22.97,bonne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,135.93,43.03,19.61,7.06,moyenne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,72.63,43.19,0.0,16.22,bonne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,116.19,72.85,856.18,10.04,bonne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,344.34,1547.97,18.7,30.5,bonne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,341.83,951.3,458.33,7.49,bonne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,141.32,43.6,31.01,9.53,bonne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,138.98,46.98,0.0,15.03,bonne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,119.34,70.64,1151.82,23.95,moyenne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,134.98,46.76,0.0,22.11,bonne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,139.9,58.25,1351.49,27.82,bonne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,44.0,1.13,3171.77,27.44,bonne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,146.17,83.82,580.82,33.93,bonne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,132.98,65.14,829.31,5.43,bonne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,128.32,38.72,0.0,22.9,bonne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,66.61,50.52,0.0,5.88,bonne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,318.43,942.14,350.29,14.19,bonne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,139.57,55.33,0.0,18.75,bonne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,69.93,67.72,112.45,29.92,moyenne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,63.2,2.63,2661.21,5.31,moyenne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,224.14,99.37,934.98,17.08,moyenne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,226.87,138.02,388.98,12.34,bonne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,77.63,52.5,0.0,33.98,faible
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,338.56,1709.15,359.18,15.82,moyenne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,334.98,976.71,95.6,23.02,bonne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,171.03,166.15,3033.21,20.58,moyenne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,166.9,113.34,2609.09,15.99,bonne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,232.01,118.6,257.31,32.86,bonne
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,168.36,41.23,3864.22,18.49,bonne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,174.23,102.92,3126.17,10.51,bonne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,55.99,5.26,3405.83,33.91,bonne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,341.06,994.26,166.7,22.82,faible
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,237.43,116.35,0.0,25.65,bonne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,133.68,29.99,0.0,24.01,moyenne
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,175.28,31.38,5014.23,6.36,bonne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,129.45,90.35,809.31,18.18,bonne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,142.38,41.21,142.79,29.03,bonne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,146.26,92.78,3435.92,23.16,bonne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,129.29,62.8,444.2,20.66,bonne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,90.37,62.38,9.01,26.02,bonne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,318.26,1500.41,0.0,10.92,bonne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,51.36,3.69,1955.16,24.74,moyenne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,67.59,1.75,3828.86,6.93,bonne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,321.5,1397.78,0.0,28.24,bonne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,155.63,172.05,3684.97,26.93,bonne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,99.52,73.57,110.47,7.27,bonne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,162.54,108.24,2536.12,9.35,bonne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,138.17,34.9,0.0,13.94,bonne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,74.3,52.18,0.0,14.48,faible
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,62.06,5.76,2235.32,16.43,faible
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,71.62,8.72,2971.09,31.82,bonne
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,187.78,29.09,4358.8,33.2,moyenne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,156.85,147.32,2879.18,21.59,moyenne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,50.86,10.34,2425.01,8.97,bonne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,132.64,36.4,0.0,29.7,moyenne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,147.93,134.85,2984.27,19.78,bonne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,174.45,167.42,3139.38,26.59,moyenne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,65.08,39.46,0.0,15.59,bonne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,123.08,47.13,0.0,28.57,bonne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,83.61,59.68,0.0,12.42,bonne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,57.26,6.21,3413.32,33.15,bonne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,66.8,5.19,1811.12,13.55,bonne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,175.36,140.42,2978.77,6.32,bonne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,102.66,55.37,90.64,9.45,bonne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,138.81,142.34,2509.69,26.86,moyenne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,253.03,131.58,933.97,26.73,moyenne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,60.92,6.79,2669.95,24.79,faible
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,64.65,4.16,2459.96,33.43,bonne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,301.5,2175.52,355.47,22.34,moyenne
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,189.01,46.08,3666.12,31.39,moyenne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,303.85,1230.9,7.51,29.9,moyenne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,116.87,71.22,1113.9,31.87,bonne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,74.24,7.96,3593.67,11.27,moyenne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,316.29,1533.7,680.44,19.15,faible
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,232.85,94.2,1058.42,12.71,moyenne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,166.69,124.25,3001.17,33.62,bonne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,335.12,1308.76,418.16,27.94,bonne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,109.16,34.83,252.32,30.52,bonne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,126.61,38.63,115.63,31.25,moyenne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,93.18,71.87,0.0,31.91,bonne
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,171.56,35.78,3687.23,21.76,bonne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,54.23,4.1,3126.84,19.68,bonne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,53.69,1.33,3292.99,17.19,bonne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,63.63,2.33,3428.15,9.68,bonne
